Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 05:37:00 PM    Left Gate (PHX) @ Thursday 03:37:00 PM MST,,,Airline
,,,
Taxi Time: 9 minutes,,,
Thu 05:46:25 PM    Departure (PHX) @ Thursday 03:46:25 PM MST,,,FlightAware ADS-B (KPHX)
Thu 06:22:29 PM,36.0393,-114.5683, 285,273,314,"9,975"
Thu 06:22:59 PM,36.0490,-114.6128, 284,254,292,"9,775"
Thu 06:23:29 PM,36.0575,-114.6531, 284,239,275,"9,525"
Thu 06:23:57 PM,36.0652,-114.6902, 285,234,269,"9,050"
Thu 06:24:21 PM,36.0717,-114.7209, 284,233,268,"8,625"
Thu 06:24:44 PM,36.0732,-114.7484, 270,225,259,"8,375"
Thu 06:25:14 PM,36.0735,-114.7876, 270,206,237,"8,075"
Thu 06:25:37 PM,36.0734,-114.8128, 270,193,222,"7,875"
Thu 06:26:07 PM,36.0735,-114.8453, 270,187,215,"7,350"
Thu 06:26:37 PM,36.0736,-114.8770, 271,188,216,"6,725"
Thu 06:26:57 PM,36.0735,-114.8986, 272,187,215,"6,325"
Thu 06:27:27 PM,36.0736,-114.9307, 271,187,215,"5,700"
Thu 06:27:57 PM,36.0737,-114.9630, 271,187,215,"5,075"
Thu 06:28:27 PM,36.0736,-114.9947, 270,178,205,"4,625"
Thu 06:28:57 PM,36.0737,-115.0245, 272,166,191,"4,050"
Thu 06:29:17 PM,36.0737,-115.0411, 269,154,177,"3,675"
,,,
Thu 06:29:43 PM,36.0737,-115.0640, 270,153,176,"3,225"
,,,
Thu 06:29:59 PM,36.0736,-115.0784, 269,153,176,"2,975"
Thu 06:30:15 PM,36.0736,-115.0925, 269,156,180,"2,750"
Thu 06:30:31 PM,36.0736,-115.1066, 270,153,176,"2,500"
Thu 06:30:47 PM,36.0736,-115.1204, 270,157,181,"2,325"
Thu 06:31:03 PM,36.0737,-115.1344, 270,148,170,"2,150"
,,,
Thu 06:31:35 PM    Arrival (LAS) @ Thursday 03:31:35 PM PST,,,FlightAware
,,,
Taxi Time: 5 minutes,,,
Thu 06:37:00 PM    Gate Arrival (LAS) @ Thursday 03:37:00 PM PST,,,Airline
