Flight Number,Date,Taxi Takeoff,Average Delay Takeoff,Gate Departure Actual,Gate Departure Estimated,Takeoff Actual,Takeoff Estimated,Taxi Landing,Average Delay Landing,Landing Actual,Landing Estimated,Gate Arrival Actual,Gate Arrival Estimated
SWA3001,TUESDAY 26-MAR-2024,Taxi Time: 22 minutes,Average Delay: 40 minutes - 1 hour,04:37PM MST,Scheduled 04:40PM MST,04:59PM MST,Scheduled 04:50PM MST,Taxi Time: 22 minutes,Average Delay: 40 minutes - 1 hour,05:48PM PDT,Scheduled 05:39PM PDT,05:54PM PDT,Scheduled 05:45PM PDT
SWA745,TUESDAY 26-MAR-2024,Taxi Time: 9 minutes,Average Delay: Less than 10 minutes,03:28PM MST,Scheduled 03:35PM MST,03:37PM MST,Scheduled 03:45PM MST,Taxi Time: 9 minutes,Average Delay: Less than 10 minutes,04:25PM PDT,Scheduled 04:28PM PDT,04:31PM PDT,Scheduled 04:45PM PDT
RGY923,,,,,,,,,,,,,
AAL1541,TUESDAY 26-MAR-2024,Taxi Time: 16 minutes,Average Delay: 20-40 minutes,01:54PM MST,Scheduled 02:00PM MST,02:10PM MST,Scheduled 02:10PM MST,Taxi Time: 16 minutes,Average Delay: 20-40 minutes,03:00PM PDT,Scheduled 02:56PM PDT,03:09PM PDT,Scheduled 03:11PM PDT
SWA2388,TUESDAY 26-MAR-2024,Taxi Time: 7 minutes,Average Delay: 10-20 minutes,01:59PM MST,Scheduled 02:00PM MST,02:06PM MST,Scheduled 02:10PM MST,Taxi Time: 7 minutes,Average Delay: 10-20 minutes,02:52PM PDT,Scheduled 02:59PM PDT,03:04PM PDT,Scheduled 03:10PM PDT
FFT1895,TUESDAY 26-MAR-2024,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,01:46PM MST,Scheduled 01:50PM MST,02:00PM MST,Scheduled 02:00PM MST,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,02:47PM PDT,Scheduled 02:51PM PDT,02:59PM PDT,Scheduled 03:05PM PDT
SWA1051,TUESDAY 26-MAR-2024,Taxi Time: 5 minutes,Average Delay: Less than 10 minutes,12:50PM MST,Scheduled 12:45PM MST,12:55PM MST,Scheduled 12:55PM MST,Taxi Time: 5 minutes,Average Delay: Less than 10 minutes,01:40PM PDT,Scheduled 01:44PM PDT,01:48PM PDT,Scheduled 01:55PM PDT
NKS2043,TUESDAY 26-MAR-2024,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,11:12AM MST,Scheduled 11:20AM MST,11:24AM MST,Scheduled 11:30AM MST,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,12:08PM PDT,Scheduled 12:17PM PDT,12:12PM PDT,Scheduled 12:34PM PDT
AAL2109,TUESDAY 26-MAR-2024,Taxi Time: 19 minutes,Average Delay: 20-40 minutes,10:27AM MST,Scheduled 10:32AM MST,10:46AM MST,Scheduled 10:42AM MST,Taxi Time: 19 minutes,Average Delay: 20-40 minutes,11:38AM PDT,Scheduled 11:31AM PDT,11:51AM PDT,Scheduled 11:54AM PDT
SNC1367,,,,,,,,,,,,,
SWA3084,TUESDAY 26-MAR-2024,Taxi Time: 24 minutes,Average Delay: Less than 10 minutes,09:17AM MST,Scheduled 09:10AM MST,09:41AM MST,Scheduled 09:20AM MST,Taxi Time: 24 minutes,Average Delay: Less than 10 minutes,10:29AM PDT,Scheduled 10:06AM PDT,10:43AM PDT,Scheduled 10:25AM PDT
SWA953,TUESDAY 26-MAR-2024,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,07:39AM MST,Scheduled 07:40AM MST,07:50AM MST,Scheduled 07:50AM MST,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,08:37AM PDT,Scheduled 08:39AM PDT,08:42AM PDT,Scheduled 08:50AM PDT
AAL1611,TUESDAY 26-MAR-2024,Taxi Time: 17 minutes,Average Delay: Less than 10 minutes,07:17AM MST,Scheduled 07:25AM MST,07:34AM MST,Scheduled 07:35AM MST,Taxi Time: 17 minutes,Average Delay: Less than 10 minutes,08:21AM PDT,Scheduled 08:21AM PDT,08:28AM PDT,Scheduled 08:41AM PDT
SWA2684,TUESDAY 26-MAR-2024,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,06:28AM MST,Scheduled 06:30AM MST,06:46AM MST,Scheduled 06:40AM MST,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,07:33AM PDT,Scheduled 07:28AM PDT,07:38AM PDT,Scheduled 07:40AM PDT
