Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 12:38:21 PM    Departure (PHX) @ Monday 09:38:21 AM MST,,,FlightAware ADS-B (KFFZ)
Mon 01:16:57 PM,36.0898,-114.6737, 263,271,312,"7,600"
Mon 01:17:27 PM,36.0850,-114.7222, 263,267,307,"7,075"
Mon 01:17:57 PM,36.0805,-114.7661, 263,265,305,"6,600"
Mon 01:18:27 PM,36.0761,-114.8102, 263,258,297,"6,525"
Mon 01:18:46 PM,36.0734,-114.8393, 266,243,280,"6,500"
Mon 01:19:12 PM,36.0734,-114.8733, 271,245,282,"5,950"
Mon 01:19:42 PM,36.0737,-114.9157, 270,227,261,"5,325"
Mon 01:20:12 PM,36.0736,-114.9525, 270,217,250,"4,800"
Mon 01:20:42 PM,36.0737,-114.9886, 270,216,249,"4,200"
Mon 01:21:12 PM,36.0737,-115.0257, 270,197,227,"3,650"
Mon 01:21:42 PM,36.0737,-115.0576, 270,183,211,"3,150"
,,,
Mon 01:21:48 PM,36.0737,-115.0633, 269,180,207,"3,075"
,,,
Mon 01:21:58 PM,36.0737,-115.0738, 271,171,197,"2,925"
Mon 01:22:14 PM,36.0737,-115.0892, 269,166,191,"2,700"
Mon 01:22:30 PM,36.0737,-115.1035, 270,166,191,"2,500"
Mon 01:22:46 PM,36.0737,-115.1187, 270,165,190,"2,250"
Mon 01:23:05 PM,36.0737,-115.1361, 270,153,176,"2,100"
,,,
Mon 01:23:37 PM    Arrival (LAS) @ Monday 10:23:37 AM PDT,,,FlightAware
,,,
Taxi Time: 4 minutes,,,
Mon 01:28:00 PM    Gate Arrival (LAS) @ Monday 10:28:00 AM PDT,,,Airline
