Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 12:10:00 PM    Left Gate (PHX) @ Tuesday 09:10:00 AM MST,,,Airline
,,,
Taxi Time: 22 minutes,,,
Tue 12:32:22 PM    Departure (PHX) @ Tuesday 09:32:22 AM MST,,,FlightAware ADS-B (KCHD)
Tue 01:09:56 PM,35.9978,-114.5452, 297,261,300,"10,400"
Tue 01:10:26 PM,36.0148,-114.5857, 297,263,303,"9,550"
Tue 01:10:56 PM,36.0309,-114.6249, 297,254,292,"8,900"
Tue 01:11:21 PM,36.0451,-114.6589, 296,249,287,"8,675"
Tue 01:11:40 PM,36.0515,-114.6823, 283,251,289,"8,400"
Tue 01:12:08 PM,36.0574,-114.7221, 280,241,277,"7,875"
Tue 01:12:38 PM,36.0626,-114.7599, 280,221,254,"7,450"
Tue 01:13:08 PM,36.0678,-114.7983, 280,216,249,"7,025"
Tue 01:13:38 PM,36.0730,-114.8334, 277,208,239,"6,500"
Tue 01:14:07 PM,36.0736,-114.8674, 270,208,239,"5,875"
Tue 01:14:37 PM,36.0735,-114.9029, 270,210,242,"5,325"
Tue 01:15:07 PM,36.0736,-114.9374, 270,198,228,"4,725"
Tue 01:15:36 PM,36.0737,-114.9689, 270,187,215,"4,225"
Tue 01:16:06 PM,36.0737,-115.0010, 269,184,212,"3,700"
Tue 01:16:31 PM,36.0737,-115.0250, 269,171,197,"3,325"
Tue 01:17:01 PM,36.0736,-115.0549, 269,164,189,"2,850"
Tue 01:17:17 PM,36.0736,-115.0695, 270,164,189,"2,625"
Tue 01:17:33 PM,36.0736,-115.0846, 270,166,191,"2,375"
Tue 01:17:49 PM,36.0737,-115.1000, 271,172,198,"2,175"
Tue 01:18:05 PM,36.0736,-115.1157, 270,167,192,"1,875"
Tue 01:18:22 PM,36.0737,-115.1319, 270,166,191,"1,675"
,,,
Tue 01:18:54 PM    Arrival (LAS) @ Tuesday 10:18:54 AM PDT,,,FlightAware
,,,
Taxi Time: 5 minutes,,,
Tue 01:24:00 PM    Gate Arrival (LAS) @ Tuesday 10:24:00 AM PDT,,,Airline
