Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 02:17:00 PM    Left Gate (PHX) @ Friday 11:17:00 AM MST,,,Airline
,,,
Taxi Time: 29 minutes,,,
Fri 02:46:03 PM    Departure (PHX) @ Friday 11:46:03 AM MST,,,FlightAware ADS-B (KFFZ)
Fri 03:21:59 PM,36.0724,-114.4916, 270,218,251,"8,175"
Fri 03:22:18 PM,36.0725,-114.5158, 269,217,250,"8,125"
Fri 03:22:43 PM,36.0725,-114.5488, 270,225,259,"8,125"
Fri 03:23:13 PM,36.0726,-114.5884, 271,229,264,"8,125"
Fri 03:23:43 PM,36.0729,-114.6270, 271,220,253,"8,125"
Fri 03:24:06 PM,36.0731,-114.6541, 270,225,259,"8,125"
Fri 03:24:36 PM,36.0731,-114.6951, 270,242,278,"8,125"
Fri 03:25:06 PM,36.0732,-114.7376, 271,238,274,"8,100"
Fri 03:25:36 PM,36.0735,-114.7776, 270,236,272,"7,625"
Fri 03:26:06 PM,36.0735,-114.8187, 270,234,269,"7,025"
Fri 03:26:36 PM,36.0735,-114.8570, 270,233,268,"6,375"
Fri 03:27:06 PM,36.0736,-114.8965, 271,230,265,"5,725"
Fri 03:27:36 PM,36.0736,-114.9348, 270,214,246,"5,125"
Fri 03:28:06 PM,36.0737,-114.9687, 270,194,223,"4,625"
Fri 03:28:36 PM,36.0737,-115.0036, 269,190,219,"4,075"
Fri 03:29:06 PM,36.0737,-115.0335, 270,167,192,"3,625"
,,,
Fri 03:29:38 PM,36.0737,-115.0637, 270,154,177,"3,175"
,,,
Fri 03:29:52 PM,36.0737,-115.0756, 270,155,178,"3,000"
Fri 03:30:08 PM,36.0737,-115.0902, 270,157,181,"2,775"
Fri 03:30:24 PM,36.0737,-115.1037, 270,146,168,"2,550"
Fri 03:30:40 PM,36.0737,-115.1166, 270,134,154,"2,375"
Fri 03:30:56 PM,36.0737,-115.1286, 270,138,159,"2,175"
,,,
Fri 03:31:44 PM    Arrival (LAS) @ Friday 12:31:44 PM PDT,,,FlightAware
,,,
Taxi Time: 5 minutes,,,
Fri 03:37:00 PM    Gate Arrival (LAS) @ Friday 12:37:00 PM PDT,,,Airline
