Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 09:46:00 PM    Left Gate (PHX) @ Friday 06:46:00 PM MST,,,Airline
,,,
Taxi Time: 11 minutes,,,
Fri 09:57:15 PM    Departure (PHX) @ Friday 06:57:15 PM MST,,,FlightAware ADS-B (KFFZ)
Fri 10:35:20 PM,36.0734,-114.7924, 270,201,231,"7,525"
Fri 10:35:50 PM,36.0735,-114.8266, 270,201,231,"6,875"
Fri 10:36:20 PM,36.0735,-114.8597, 270,195,224,"6,325"
Fri 10:36:50 PM,36.0736,-114.8947, 270,194,223,"5,775"
Fri 10:37:20 PM,36.0736,-114.9263, 271,198,228,"5,275"
Fri 10:37:50 PM,36.0737,-114.9594, 270,190,219,"4,750"
Fri 10:38:20 PM,36.0737,-114.9935, 270,188,216,"4,225"
Fri 10:38:50 PM,36.0737,-115.0258, 270,181,208,"3,725"
Fri 10:39:20 PM,36.0737,-115.0549, 270,157,181,"3,275"
,,,
Fri 10:39:30 PM,36.0737,-115.0633, 270,146,168,"3,175"
,,,
Fri 10:39:36 PM,36.0737,-115.0670, 270,144,166,"3,100"
Fri 10:39:52 PM,36.0738,-115.0805, 271,142,163,"2,925"
Fri 10:40:08 PM,36.0737,-115.0939, 270,139,160,"2,700"
Fri 10:40:24 PM,36.0737,-115.1057, 270,139,160,"2,550"
Fri 10:40:40 PM,36.0737,-115.1198, 269,140,161,"2,350"
Fri 10:40:56 PM,36.0737,-115.1313, 270,139,160,"2,175"
,,,
Fri 10:41:28 PM    Arrival (LAS) @ Friday 07:41:28 PM PDT,,,FlightAware
,,,
Taxi Time: 7 minutes,,,
Fri 10:49:00 PM    Gate Arrival (LAS) @ Friday 07:49:00 PM PDT,,,Airline
