Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 05:18:21 PM    Departure (PHX) @ Thursday 02:18:21 PM MST,,,FlightAware ADS-B (KFFZ)
Thu 05:57:40 PM,36.0736,-114.9072, 270,208,239,"5,500"
Thu 05:58:10 PM,36.0736,-114.9431, 270,196,226,"4,875"
Thu 05:58:40 PM,36.0737,-114.9769, 270,188,216,"4,400"
Thu 05:59:10 PM,36.0737,-115.0083, 270,187,215,"3,875"
Thu 05:59:40 PM,36.0737,-115.0400, 270,176,203,"3,400"
,,,
Thu 06:00:05 PM,36.0737,-115.0635, 269,163,188,"3,025"
,,,
Thu 06:00:21 PM,36.0737,-115.0772, 270,158,182,"2,825"
Thu 06:00:37 PM,36.0737,-115.0920, 270,156,180,"2,600"
Thu 06:00:53 PM,36.0737,-115.1064, 270,157,181,"2,400"
Thu 06:01:09 PM,36.0737,-115.1206, 270,154,177,"2,200"
Thu 06:01:25 PM,36.0737,-115.1353, 270,153,176,"2,075"
,,,
Thu 06:01:57 PM    Arrival (LAS) @ Thursday 03:01:57 PM PDT,,,FlightAware
,,,
Taxi Time: 5 minutes,,,
Thu 06:07:00 PM    Gate Arrival (LAS) @ Thursday 03:07:00 PM PDT,,,Airline
