Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 02:28:00 PM    Left Gate (PHX) @ Sunday 11:28:00 AM MST,,,Airline
,,,
Taxi Time: 25 minutes,,,
Sun 02:53:00 PM    Departure (PHX) @ Sunday 11:53:00 AM MST,,,Albuquerque Center
,,,
Sun 03:32:24 PM,36.0736,-114.8850, 270,182,209,"6,150"
Sun 03:32:54 PM,36.0736,-114.9158, 270,179,206,"5,600"
Sun 03:33:24 PM,36.0736,-114.9460, 270,176,203,"5,125"
Sun 03:33:54 PM,36.0737,-114.9758, 270,178,205,"4,625"
Sun 03:34:24 PM,36.0737,-115.0070, 270,179,206,"4,100"
Sun 03:34:52 PM,36.0737,-115.0346, 270,160,184,"3,675"
Sun 03:35:18 PM,36.0737,-115.0577, 270,149,171,"3,325"
,,,
Sun 03:35:26 PM,36.0737,-115.0633, 270,147,169,"3,225"
,,,
Sun 03:35:34 PM,36.0737,-115.0700, 270,148,170,"3,125"
Sun 03:35:50 PM,36.0737,-115.0837, 270,146,168,"2,900"
Sun 03:36:06 PM,36.0737,-115.0965, 269,146,168,"2,700"
Sun 03:36:22 PM,36.0737,-115.1110, 270,149,171,"2,500"
Sun 03:36:38 PM,36.0737,-115.1242, 269,153,176,"2,275"
Sun 03:36:54 PM,36.0736,-115.1374, 269,143,165,"2,175"
,,,
Sun 03:37:29 PM    Arrival (LAS) @ Sunday 12:37:29 PM PDT,,,FlightAware
,,,
Taxi Time: 8 minutes,,,
Sun 03:46:00 PM    Gate Arrival (LAS) @ Sunday 12:46:00 PM PDT,,,Airline
