Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Fri 07:49:00 PM    Left Gate (PHX) @ Friday 04:49:00 PM MST,,,Airline
,,,
Taxi Time: 23 minutes,,,
Fri 08:12:05 PM    Departure (PHX) @ Friday 05:12:05 PM MST,,,FlightAware ADS-B (KDVT)
Fri 08:49:46 PM,36.0735,-114.5356, 270,233,268,"8,175"
Fri 08:50:02 PM,36.0734,-114.5561, 270,233,268,"8,150"
Fri 08:50:32 PM,36.0737,-114.5947, 271,230,265,"8,175"
Fri 08:51:02 PM,36.0737,-114.6346, 270,230,265,"8,175"
Fri 08:51:32 PM,36.0735,-114.6742, 270,238,274,"8,175"
Fri 08:52:02 PM,36.0731,-114.7151, 270,235,270,"8,175"
Fri 08:52:32 PM,36.0733,-114.7549, 270,235,270,"7,950"
Fri 08:53:02 PM,36.0734,-114.7961, 270,237,273,"7,425"
Fri 08:53:32 PM,36.0735,-114.8363, 270,232,267,"6,750"
Fri 08:54:02 PM,36.0736,-114.8756, 270,221,254,"6,050"
Fri 08:54:32 PM,36.0736,-114.9116, 270,202,232,"5,500"
Fri 08:55:02 PM,36.0736,-114.9436, 270,181,208,"5,025"
Fri 08:55:32 PM,36.0737,-114.9734, 271,180,207,"4,575"
Fri 08:56:02 PM,36.0737,-115.0057, 270,180,207,"4,075"
Fri 08:56:32 PM,36.0737,-115.0343, 270,168,193,"3,650"
Fri 08:57:02 PM,36.0737,-115.0622, 270,142,163,"3,200"
,,,
Fri 08:57:03 PM,36.0737,-115.0634, 270,141,162,"3,200"
,,,
Fri 08:57:18 PM,36.0737,-115.0760, 270,145,167,"3,025"
Fri 08:57:34 PM,36.0737,-115.0875, 270,138,159,"2,825"
Fri 08:57:50 PM,36.0737,-115.1012, 270,139,160,"2,625"
Fri 08:58:06 PM,36.0737,-115.1134, 270,143,165,"2,450"
Fri 08:58:22 PM,36.0737,-115.1260, 270,141,162,"2,275"
Fri 08:58:38 PM,36.0737,-115.1392, 270,119,137,"2,175"
,,,
Fri 08:58:54 PM    Arrival (LAS) @ Friday 05:58:54 PM PDT,,,FlightAware
,,,
Taxi Time: 7 minutes,,,
Fri 09:06:00 PM    Gate Arrival (LAS) @ Friday 06:06:00 PM PDT,,,Airline
