Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Mon 01:40:00 PM    Left Gate (PHX) @ Monday 10:40:00 AM MST,,,Airline
,,,
Taxi Time: 14 minutes,,,
Mon 01:54:06 PM    Departure (PHX) @ Monday 10:54:06 AM MST,,,FlightAware ADS-B (KPHX)
Mon 02:32:28 PM,35.7702,-115.1680, 272,233,268,"8,100"
Mon 02:32:55 PM,35.7731,-115.2032, 277,233,268,"7,975"
Mon 02:33:25 PM,35.7775,-115.2413, 278,235,270,"7,975"
Mon 02:33:55 PM,35.7823,-115.2823, 278,228,262,"7,725"
Mon 02:34:14 PM,35.7854,-115.3072, 281,234,269,"7,200"
Mon 02:34:32 PM,35.7931,-115.3254, 321,220,253,"6,925"
Mon 02:34:48 PM,35.8095,-115.3319, 4,210,242,"6,950"
Mon 02:35:06 PM,35.8256,-115.3280, 13,211,243,"6,975"
Mon 02:35:24 PM,35.8431,-115.3227, 14,212,244,"6,975"
Mon 02:35:44 PM,35.8612,-115.3113, 41,214,246,"6,975"
Mon 02:36:06 PM,35.8738,-115.2913, 54,213,245,"6,675"
Mon 02:36:23 PM,35.8852,-115.2760, 35,215,247,"6,250"
Mon 02:36:39 PM,35.8996,-115.2678, 24,212,244,"5,900"
Mon 02:37:08 PM,35.9253,-115.2529, 26,209,241,"5,350"
Mon 02:37:27 PM,35.9433,-115.2426, 26,208,239,"4,975"
Mon 02:37:57 PM,35.9684,-115.2276, 24,206,237,"4,450"
,,,
Mon 02:38:06 PM,35.9757,-115.2236, 25,196,226,"4,325"
,,,
Mon 02:38:13 PM,35.9815,-115.2203, 25,190,219,"4,200"
Mon 02:38:29 PM,35.9935,-115.2134, 24,180,207,"3,925"
Mon 02:38:45 PM,36.0055,-115.2066, 26,170,196,"3,675"
Mon 02:39:01 PM,36.0168,-115.2003, 23,157,181,"3,425"
,,,
Mon 02:39:07 PM,36.0205,-115.1983, 23,156,180,"3,375"
,,,
Mon 02:39:17 PM,36.0266,-115.1948, 26,157,181,"3,250"
Mon 02:39:33 PM,36.0375,-115.1886, 24,160,184,"3,000"
Mon 02:39:49 PM,36.0496,-115.1816, 25,161,185,"2,800"
Mon 02:40:05 PM,36.0592,-115.1760, 26,155,178,"2,550"
Mon 02:40:21 PM,36.0698,-115.1700, 25,159,183,"2,325"
Mon 02:40:38 PM,36.0806,-115.1638, 25,153,176,"2,100"
,,,
Mon 02:41:11 PM    Arrival (LAS) @ Monday 11:41:11 AM PDT,,,FlightAware
,,,
Taxi Time: 7 minutes,,,
Mon 02:49:00 PM    Gate Arrival (LAS) @ Monday 11:49:00 AM PDT,,,Airline
