Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Tue 06:28:00 PM    Left Gate (PHX) @ Tuesday 03:28:00 PM MST,,,Airline
,,,
Taxi Time: 9 minutes,,,
Tue 06:37:51 PM    Departure (PHX) @ Tuesday 03:37:51 PM MST,,,FlightAware ADS-B (KPHX)
Tue 07:15:33 PM,35.9566,-114.5234, 308,262,302,"10,025"
Tue 07:16:03 PM,35.9784,-114.5588, 307,266,306,"10,025"
Tue 07:16:33 PM,36.0001,-114.5942, 307,257,296,"9,525"
Tue 07:17:03 PM,36.0214,-114.6290, 307,258,297,"9,025"
Tue 07:17:25 PM,36.0379,-114.6562, 304,265,305,"8,575"
Tue 07:17:45 PM,36.0499,-114.6802, 301,253,291,"8,375"
Tue 07:18:15 PM,36.0676,-114.7157, 301,237,273,"8,150"
Tue 07:18:32 PM,36.0733,-114.7385, 276,238,274,"7,850"
Tue 07:18:59 PM,36.0733,-114.7747, 271,244,281,"7,375"
Tue 07:19:29 PM,36.0735,-114.8179, 271,246,283,"6,800"
Tue 07:19:58 PM,36.0737,-114.8591, 270,243,280,"6,150"
Tue 07:20:24 PM,36.0736,-114.8930, 270,223,257,"5,725"
Tue 07:20:52 PM,36.0740,-114.9255, 269,205,236,"5,225"
Tue 07:21:13 PM,36.0736,-114.9505, 270,188,216,"4,825"
Tue 07:21:43 PM,36.0739,-114.9814, 271,181,208,"4,350"
Tue 07:22:09 PM,36.0738,-115.0083, 269,172,198,"3,925"
Tue 07:22:34 PM,36.0737,-115.0315, 270,158,182,"3,575"
Tue 07:23:02 PM,36.0737,-115.0557, 269,151,174,"3,175"
,,,
Tue 07:23:12 PM,36.0737,-115.0637, 270,140,161,"3,075"
,,,
Tue 07:23:18 PM,36.0737,-115.0682, 269,138,159,"3,000"
Tue 07:23:34 PM,36.0737,-115.0802, 271,136,157,"2,800"
Tue 07:23:50 PM,36.0737,-115.0935, 270,136,157,"2,625"
Tue 07:24:06 PM,36.0738,-115.1055, 269,138,159,"2,425"
Tue 07:24:22 PM,36.0738,-115.1177, 270,135,155,"2,225"
Tue 07:24:38 PM,36.0737,-115.1300, 270,133,153,"2,050"
,,,
Tue 07:25:10 PM    Arrival (LAS) @ Tuesday 04:25:10 PM PDT,,,FlightAware
,,,
Taxi Time: 5 minutes,,,
Tue 07:31:00 PM    Gate Arrival (LAS) @ Tuesday 04:31:00 PM PDT,,,Airline
