Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 12:28:23 PM    Departure (PHX) @ Thursday 10:28:23 AM MST,,,FlightAware ADS-B (KPHX)
Thu 01:06:54 PM,36.0736,-114.9441, 270,179,206,"5,100"
Thu 01:07:24 PM,36.0737,-114.9729, 269,162,186,"4,600"
Thu 01:07:54 PM,36.0737,-115.0004, 270,148,170,"4,150"
Thu 01:08:14 PM,36.0737,-115.0164, 270,150,173,"3,925"
Thu 01:08:44 PM,36.0737,-115.0433, 270,151,174,"3,475"
,,,
Thu 01:09:09 PM,36.0737,-115.0640, 270,151,174,"3,150"
,,,
Thu 01:09:25 PM,36.0737,-115.0782, 270,155,178,"2,950"
Thu 01:09:41 PM,36.0737,-115.0925, 270,154,177,"2,700"
Thu 01:09:57 PM,36.0737,-115.1062, 270,152,175,"2,475"
Thu 01:10:13 PM,36.0737,-115.1203, 270,156,180,"2,275"
Thu 01:10:29 PM,36.0737,-115.1347, 271,120,138,"2,100"
,,,
Thu 01:10:45 PM    Arrival (LAS) @ Thursday 10:10:45 AM PST,,,FlightAware
,,,
Taxi Time: 6 minutes,,,
Thu 01:17:00 PM    Gate Arrival (LAS) @ Thursday 10:17:00 AM PST,,,Airline
