Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Thu 08:31:00 PM    Left Gate (PHX) @ Thursday 06:31:00 PM MST,,,Airline
,,,
Taxi Time: 15 minutes,,,
Thu 08:46:17 PM    Departure (PHX) @ Thursday 06:46:17 PM MST,,,FlightAware ADS-B (KPHX)
Thu 09:23:11 PM,36.0153,-114.5703, 294,240,276,"8,825"
Thu 09:23:41 PM,36.0289,-114.6075, 295,235,270,"8,150"
Thu 09:24:11 PM,36.0418,-114.6424, 295,208,239,"8,075"
Thu 09:24:40 PM,36.0531,-114.6725, 295,198,228,"8,050"
Thu 09:25:10 PM,36.0642,-114.7028, 294,200,230,"8,050"
Thu 09:25:29 PM,36.0718,-114.7237, 291,202,232,"8,050"
Thu 09:25:47 PM,36.0742,-114.7426, 271,202,232,"7,825"
Thu 09:26:07 PM,36.0734,-114.7665, 269,198,228,"7,425"
Thu 09:26:37 PM,36.0733,-114.7995, 270,191,220,"6,875"
Thu 09:27:07 PM,36.0734,-114.8334, 270,196,226,"6,550"
Thu 09:27:37 PM,36.0736,-114.8659, 270,192,221,"6,325"
Thu 09:28:07 PM,36.0736,-114.8986, 270,187,215,"5,825"
Thu 09:28:37 PM,36.0736,-114.9292, 270,180,207,"5,300"
Thu 09:29:07 PM,36.0736,-114.9611, 270,176,203,"4,800"
Thu 09:29:28 PM,36.0737,-114.9828, 270,176,203,"4,425"
Thu 09:29:58 PM,36.0737,-115.0108, 270,171,197,"3,975"
Thu 09:30:23 PM,36.0737,-115.0337, 270,149,171,"3,625"
Thu 09:30:53 PM,36.0737,-115.0584, 270,137,158,"3,225"
,,,
Thu 09:30:59 PM,36.0737,-115.0635, 270,137,158,"3,150"
,,,
Thu 09:31:09 PM,36.0737,-115.0710, 270,137,158,"3,025"
Thu 09:31:25 PM,36.0737,-115.0840, 270,136,157,"2,825"
Thu 09:31:41 PM,36.0737,-115.0956, 270,135,155,"2,650"
Thu 09:31:57 PM,36.0737,-115.1081, 270,136,157,"2,450"
Thu 09:32:13 PM,36.0737,-115.1209, 270,136,157,"2,275"
Thu 09:32:30 PM,36.0736,-115.1339, 270,127,146,"2,125"
,,,
Thu 09:33:02 PM    Arrival (LAS) @ Thursday 06:33:02 PM PST,,,FlightAware
