Time (EST),Latitude,Longitude,Course,kts,mph,feet
,,,
Sun 08:26:11 PM    Departure (PHX) @ Sunday 05:26:11 PM MST,,,FlightAware ADS-B (KPHX)
Sun 09:03:21 PM,36.0118,-114.3738, 283,242,278,"11,350"
Sun 09:03:51 PM,36.0186,-114.4116, 282,239,275,"10,800"
Sun 09:04:22 PM,36.0257,-114.4532, 282,238,274,"10,175"
Sun 09:04:52 PM,36.0331,-114.4951, 282,239,275,"9,500"
Sun 09:05:22 PM,36.0397,-114.5330, 282,242,278,"8,850"
Sun 09:05:52 PM,36.0467,-114.5748, 282,251,289,"8,075"
Sun 09:06:08 PM,36.0509,-114.5984, 283,246,283,"7,975"
Sun 09:06:38 PM,36.0579,-114.6383, 282,236,272,"7,975"
Sun 09:07:08 PM,36.0647,-114.6784, 282,238,274,"7,975"
Sun 09:07:28 PM,36.0695,-114.7058, 282,239,275,"8,000"
Sun 09:07:47 PM,36.0729,-114.7298, 278,238,274,"8,025"
Sun 09:08:16 PM,36.0735,-114.7708, 271,241,277,"7,850"
Sun 09:08:46 PM,36.0736,-114.8121, 270,238,274,"6,875"
Sun 09:09:16 PM,36.0736,-114.8491, 270,211,243,"6,425"
Sun 09:09:39 PM,36.0736,-114.8752, 270,193,222,"6,100"
Sun 09:10:09 PM,36.0736,-114.9083, 270,185,213,"5,450"
Sun 09:10:38 PM,36.0736,-114.9381, 270,183,211,"5,025"
Sun 09:11:08 PM,36.0737,-114.9683, 270,184,212,"4,525"
Sun 09:11:38 PM,36.0737,-115.0008, 270,188,216,"4,000"
Sun 09:12:08 PM,36.0737,-115.0310, 270,172,198,"3,525"
Sun 09:12:38 PM,36.0737,-115.0600, 269,169,194,"3,075"
Sun 09:12:54 PM,36.0737,-115.0759, 271,170,196,"2,850"
Sun 09:13:10 PM,36.0737,-115.0928, 270,171,197,"2,575"
Sun 09:13:26 PM,36.0737,-115.1085, 270,164,189,"2,325"
Sun 09:13:42 PM,36.0737,-115.1214, 270,162,186,"2,125"
Sun 09:14:00 PM,36.0737,-115.1373, 270,135,155,"2,025"
,,,
Sun 09:14:32 PM    Arrival (LAS) @ Sunday 06:14:32 PM PDT,,,FlightAware
,,,
Taxi Time: 4 minutes,,,
Sun 09:19:00 PM    Gate Arrival (LAS) @ Sunday 06:19:00 PM PDT,,,Airline
