Flight Number,Date,Taxi Takeoff,Average Delay Takeoff,Gate Departure Actual,Gate Departure Estimated,Takeoff Actual,Takeoff Estimated,Taxi Landing,Average Delay Landing,Landing Actual,Landing Estimated,Gate Arrival Actual,Gate Arrival Estimated
FFT1895,TUESDAY 26-MAR-2024,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,1:46 PM,1:50 PM,2:00 PM,2:00 PM,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,2:47 PM,2:51 PM,2:59 PM,3:05 PM
SWA1051,TUESDAY 26-MAR-2024,Taxi Time: 5 minutes,Average Delay: Less than 10 minutes,12:50 PM,12:45 PM,12:55 PM,12:55 PM,Taxi Time: 5 minutes,Average Delay: Less than 10 minutes,1:40 PM,1:44 PM,1:48 PM,1:55 PM
NKS2043,TUESDAY 26-MAR-2024,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,11:12 AM,11:20 AM,11:24 AM,11:30 AM,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,12:08 PM,12:17 PM,12:12 PM,12:34 PM
AAL2109,TUESDAY 26-MAR-2024,Taxi Time: 19 minutes,Average Delay: 20-40 minutes,10:27 AM,10:32 AM,10:46 AM,10:42 AM,Taxi Time: 19 minutes,Average Delay: 20-40 minutes,11:38 AM,11:31 AM,11:51 AM,11:54 AM
SNC1367,,,,,,,,,,,,,
SWA3084,TUESDAY 26-MAR-2024,Taxi Time: 24 minutes,Average Delay: Less than 10 minutes,9:17 AM,9:10 AM,9:41 AM,9:20 AM,Taxi Time: 24 minutes,Average Delay: Less than 10 minutes,10:29 AM,10:06 AM,10:43 AM,10:25 AM
SWA953,TUESDAY 26-MAR-2024,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,7:39 AM,7:40 AM,7:50 AM,7:50 AM,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,8:37 AM,8:39 AM,8:42 AM,8:50 AM
AAL1611,TUESDAY 26-MAR-2024,Taxi Time: 17 minutes,Average Delay: Less than 10 minutes,7:17 AM,7:25 AM,7:34 AM,7:35 AM,Taxi Time: 17 minutes,Average Delay: Less than 10 minutes,8:21 AM,8:21 AM,8:28 AM,8:41 AM
SWA2684,TUESDAY 26-MAR-2024,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,6:28 AM,6:30 AM,6:46 AM,6:40 AM,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,7:33 AM,7:28 AM,7:38 AM,7:40 AM
NKS2043,THURSDAY 28-MAR-2024,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,11:14 AM,11:11 AM,11:25 AM,11:21 AM,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,12:11 PM,12:16 PM,12:15 PM,12:25 PM
SWA1979,THURSDAY 28-MAR-2024,Taxi Time: 20 minutes,Average Delay: 10-20 minutes,10:36 AM,10:40 AM,10:56 AM,10:50 AM,Taxi Time: 20 minutes,Average Delay: 10-20 minutes,11:42 AM,11:35 AM,11:49 AM,11:55 AM
AAL2109,THURSDAY 28-MAR-2024,Taxi Time: 20 minutes,Average Delay: 10-20 minutes,10:26 AM,10:32 AM,10:46 AM,10:42 AM,Taxi Time: 20 minutes,Average Delay: 10-20 minutes,11:33 AM,11:30 AM,11:38 AM,11:54 AM
SWA3084,THURSDAY 28-MAR-2024,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,9:14 AM,9:15 AM,9:29 AM,9:25 AM,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,10:17 AM,10:10 AM,10:22 AM,10:30 AM
SNC1367,,,,,,,,,,,,,
SWA2684,THURSDAY 28-MAR-2024,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,8:03 AM,8:10 AM,8:15 AM,8:20 AM,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,9:01 AM,9:03 AM,9:08 AM,9:20 AM
AAL1611,THURSDAY 28-MAR-2024,Taxi Time: 19 minutes,Average Delay: Less than 10 minutes,7:34 AM,7:25 AM,7:53 AM,7:35 AM,Taxi Time: 19 minutes,Average Delay: Less than 10 minutes,8:38 AM,8:21 AM,8:45 AM,8:41 AM
SWA953,THURSDAY 28-MAR-2024,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,7:17 AM,7:20 AM,7:35 AM,7:30 AM,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,8:22 AM,8:17 AM,8:26 AM,8:30 AM
SWA2435,THURSDAY 28-MAR-2024,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,6:05 AM,6:10 AM,6:21 AM,6:20 AM,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,7:06 AM,7:05 AM,7:17 AM,7:20 AM
FFT2517,WEDNESDAY 27-MAR-2024,Taxi Time: 17 minutes,Average Delay: More than 1 hour,8:38 PM,8:45 PM,8:55 PM,8:55 PM,Taxi Time: 17 minutes,Average Delay: More than 1 hour,9:39 PM,9:43 PM,9:51 PM,10:01 PM
SWA2596,WEDNESDAY 27-MAR-2024,Taxi Time: 23 minutes,Average Delay: Less than 10 minutes,8:39 PM,8:40 PM,9:02 PM,8:50 PM,Taxi Time: 23 minutes,Average Delay: Less than 10 minutes,9:49 PM,9:34 PM,9:54 PM,9:50 PM
AAL2106,WEDNESDAY 27-MAR-2024,Taxi Time: 17 minutes,Average Delay: Less than 10 minutes,8:26 PM,8:24 PM,8:43 PM,8:34 PM,Taxi Time: 17 minutes,Average Delay: Less than 10 minutes,9:29 PM,9:20 PM,9:36 PM,9:38 PM
SWA2871,WEDNESDAY 27-MAR-2024,Taxi Time: 10 minutes,Average Delay: 10-20 minutes,7:42 PM,7:30 PM,7:52 PM,7:40 PM,Taxi Time: 10 minutes,Average Delay: 10-20 minutes,8:39 PM,8:24 PM,8:48 PM,8:40 PM
SWA3975,WEDNESDAY 27-MAR-2024,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,6:07 PM,5:50 PM,6:27 PM,6:00 PM,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,7:14 PM,6:45 PM,7:19 PM,7:00 PM
FFT2133,WEDNESDAY 27-MAR-2024,Taxi Time: 3 hours 10 minutes,Average Delay: 40 minutes - 1 hour,5:39 PM,5:21 PM,8:49 PM,5:31 PM,Taxi Time: 3 hours 10 minutes,Average Delay: 40 minutes - 1 hour,9:33 PM,6:22 PM,9:40 PM,6:35 PM
