Airport Code,Location Code,Airport Name,City,Country,Timezone Offset (H),Timezone Offset (M),Timezone Offset (S),Latitude Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Direction,Longitude Degrees,Latitude,Longitude
KOAR,N/A,N/A,FORT ORD,USA,0,0,0,U,0,0,0,U,0,0,0
KOFF,OFF,OFFUTT AFB,OMAHA,USA,41,7,6,N,95,54,45,W,321,41.118,-95.913
KOGS,OGS,OGDENSBURG INTERNATIONAL,OGDENSBURG,USA,44,40,55,N,75,27,56,W,91,44.682,-75.466
KOKC,OKC,WILL ROGERS WORLD,OKLAHOMA CITY,USA,35,23,35,N,97,36,2,W,395,35.393,-97.601
KOLS,OLS,NOGALES INTERNATIONAL,NOGALES,USA,31,25,3,N,110,50,52,W,1206,31.418,-110.848
KOMA,OMA,EPPLEY AFLD,OMAHA,USA,41,18,9,N,95,53,37,W,300,41.302,-95.894
KONT,ONT,ONTARIO INTERNATIONAL,ONTARIO,USA,34,3,21,N,117,36,4,W,288,34.056,-117.601
KOPF,OPF,OPA LOCKA,MIAMI,USA,25,54,25,N,80,16,42,W,3,25.907,-80.278
KORD,ORD,CHICAGO OHARE INTERNATIONAL,CHICAGO,USA,41,58,46,N,87,54,16,W,204,41.979,-87.904
KORF,ORF,NORFOLK INTERNATIONAL,NORFOLK,USA,36,53,40,N,76,12,4,W,8,36.894,-76.201
KORL,ORL,EXECUTIVE,ORLANDO,USA,28,32,43,N,81,19,58,W,35,28.545,-81.333
KOSC,N/A,OSCODA WURTSMITH,OSCODA,USA,44,27,5,N,83,23,38,W,194,44.451,-83.394
KPAE,PAE,SNOHOMISH CO,EVERETT,USA,47,54,22,N,122,16,53,W,185,47.906,-122.281
KPAM,PAM,TYNDALL AFB,PANAMA CITY,USA,30,4,11,N,85,34,35,W,6,30.07,-85.576
KPBF,PBF,GRIDER FLD,PINE BLUFF,USA,34,10,29,N,91,56,4,W,63,34.175,-91.934
KPBG,PBG,PLATTSBURGH INTERNATIONAL,PLATTSBURGH,USA,44,39,3,N,73,28,5,W,72,44.651,-73.468
KPBI,PBI,PALM BEACH INTERNATIONAL,WEST PALM BEACH,USA,26,40,59,N,80,5,44,W,6,26.683,-80.096
KPDX,PDX,PORTLAND INTERNATIONAL,PORTLAND,USA,45,35,19,N,122,35,51,W,10,45.589,-122.597
KPHF,PHF,NEWPORT NEWS WILLIAMSBURG INTERNATIONAL,NEWPORT NEWS,USA,37,7,54,N,76,29,34,W,14,37.132,-76.493
KPHL,PHL,PHILADELPHIA INTERNATIONAL,PHILADELPHIA,USA,39,52,19,N,75,14,28,W,12,39.872,-75.241
KPHN,PHN,ST CLAIR CO INTERNATIONAL,PORT HURON,USA,42,54,39,N,82,31,43,W,199,42.911,-82.529
KPHX,PHX,PHOENIX SKY HARBOR INTERNATIONAL,PHOENIX,USA,33,26,3,N,112,0,29,W,346,33.434,-112.008
KPIE,PIE,ST PETERSBURG CLEARWATER INTERNATIONAL,ST. PETERSBURG,USA,27,54,38,N,82,41,14,W,4,27.911,-82.687
KPIT,PIT,PITTSBURGH INTERNATIONAL,PITTSBURGH (PENNSYLVA),USA,40,29,29,N,80,13,58,W,367,40.491,-80.233
KPMB,N/A,PEMBINA MUNI,PEMBINA,USA,48,56,33,N,97,14,27,W,243,48.942,-97.241
KPMD,PMD,PALMDALE PROD FLT TEST INSTL AF PLT 42,PALMDALE,USA,34,37,45,N,118,5,4,W,776,34.629,-118.084
KPNC,PNC,PONCA CITY MUNI,PONCA CITY,USA,36,43,50,N,97,5,59,W,307,36.731,-97.1
KPNE,PNE,NORTHEAST PHILADELPHIA,PHILADELPHIA,USA,40,4,55,N,75,0,38,W,37,40.082,-75.011
KPNM,PNM,PRINCETON MUNI,PRINCETON,USA,45,33,35,N,93,36,29,W,299,45.56,-93.608
KPNS,PNS,PENSACOLA RGNL,PENSACOLA,USA,30,28,23,N,87,11,14,W,37,30.473,-87.187
KPOB,POB,POPE AFB,FAYETTEVILLE,USA,35,10,15,N,79,0,52,W,67,35.171,-79.014
KPOE,POE,POLK AAF,FORT POLK,USA,31,2,41,N,93,11,29,W,101,31.045,-93.191
KPQI,PQI,NORTHERN MAINE RGNL AT PRESQUE ISLE,PRESQUE ISLE,USA,46,41,20,N,68,2,41,W,163,46.689,-68.045
KPRC,PRC,ERNEST A LOVE FLD,PRESCOTT,USA,34,39,16,N,112,25,10,W,1538,34.654,-112.419
KPSP,PSP,PALM SPRINGS INTERNATIONAL,PALM SPRINGS,USA,33,49,46,N,116,30,24,W,145,33.829,-116.507
KPSX,PSX,PALACIOS MUNI,PALACIOS,USA,28,43,39,N,96,15,3,W,5,28.727,-96.251
KPUB,PUB,PUEBLO MEM,PUEBLO MEMORIAL,USA,38,17,20,N,104,29,47,W,1441,38.289,-104.496
KPVD,PVD,THEODORE FRANCIS GREEN STATE,PROVIDENCE,USA,41,43,26,N,71,25,41,W,17,41.724,-71.428
KPWM,PWM,PORTLAND INTERNATIONAL JETPORT,PORTLAND,USA,43,38,46,N,70,18,31,W,23,43.646,-70.309
KRAL,RAL,RIVERSIDE MUNI,RIVERSIDE,USA,33,57,6,N,117,26,42,W,250,33.952,-117.445
KRBM,RBM,ROBINSON AAF,ROBINSON,USA,34,51,0,N,92,18,0,W,179,34.85,-92.3
KRCA,RCA,ELLSWORTH AFB,RAPID CITY,USA,44,8,42,N,103,6,12,W,1000,44.145,-103.103
KRDR,RDR,GRAND FORKS AFB,RED RIVER,USA,47,57,39,N,97,24,4,W,278,47.961,-97.401
KRDU,RDU,RALEIGH DURHAM INTERNATIONAL,RALEIGH-DURHAM,USA,35,52,39,N,78,47,14,W,133,35.877,-78.787
KREE,N/A,N/A,LUBBOCK,USA,0,0,0,U,0,0,0,U,0,0,0
KRIC,RIC,RICHMOND INTERNATIONAL,RICHMOND,USA,37,30,18,N,77,19,10,W,51,37.505,-77.319
KRIU,RIU,RANCHO MURIETA,RANCHO MURIETA,USA,38,29,19,N,121,6,8,W,43,38.489,-121.102
KRIV,RIV,MARCH ARB,RIVERSIDE,USA,33,52,50,N,117,15,34,W,468,33.881,-117.259
KRME,RME,GRIFFISS AIRPARK,ROME,USA,43,14,1,N,75,24,25,W,154,43.234,-75.407
KRND,RND,RANDOLPH AFB,SAN ANTONIO,USA,29,31,46,N,98,16,44,W,233,29.529,-98.279
KRNO,RNO,RENO TAHOE INTERNATIONAL,RENO,USA,39,29,54,N,119,46,5,W,1345,39.498,-119.768
KROC,ROC,GREATER ROCHESTER INTERNATIONAL,ROCHESTER,USA,43,7,7,N,77,40,20,W,171,43.119,-77.672
KROW,ROW,ROSWELL INDUSTRIAL AIR CENTER,ROSWELL,USA,33,18,5,N,104,31,50,W,1119,33.301,-104.531
KRSW,RSW,SOUTHWEST FLORIDA INTERNATIONAL,FORT MYERS,USA,26,32,10,N,81,45,18,W,10,26.536,-81.755
KSAC,SAC,SACRAMENTO EXECUTIVE,SACRAMENTO,USA,38,30,45,N,121,29,36,W,8,38.513,-121.493
KSAF,SAF,SANTA FE MUNI,SANTA FE,USA,35,37,0,N,106,5,17,W,1935,35.617,-106.088
KSAN,SAN,SAN DIEGO INTERNATIONAL LINDBERGH FLD,SAN DIEGO,USA,32,44,0,N,117,11,22,W,5,32.733,-117.189
KSAT,SAT,SAN ANTONIO INTERNATIONAL,SAN ANTONIO,USA,29,32,1,N,98,28,11,W,247,29.534,-98.47
KSAV,SAV,SAVANNAH HILTON HEAD INTERNATIONAL,SAVANNAH,USA,32,7,39,N,81,12,7,W,16,32.127,-81.202
KSAW,N/A,SAWYER INTERNATIONAL,GWINN,USA,46,21,13,N,87,23,45,W,373,46.354,-87.396
KSBO,SBO,EMANUEL CO,SANTA BARBARA,USA,32,36,30,N,82,22,7,W,100,32.608,-82.369
KSBY,SBY,SALISBURY OCEAN CITY WICOMICO RGNL,SALISBURY,USA,38,20,25,N,75,30,37,W,16,38.34,-75.51
KSCI,N/A,N/A,SAN CLEMENTE,USA,0,0,0,U,0,0,0,U,0,0,0
KSCK,SCK,STOCKTON METROPOLITAN,STOCKTON,USA,37,53,39,N,121,14,19,W,10,37.894,-121.239
KSEA,SEA,SEATTLE TACOMA INTERNATIONAL,SEATTLE,USA,47,26,56,N,122,18,33,W,131,47.449,-122.309
KSEM,SEM,CRAIG FLD,SELMA,USA,32,20,38,N,86,59,16,W,51,32.344,-86.988
KSES,N/A,N/A,SELMA,USA,0,0,0,U,0,0,0,U,0,0,0
KSFF,SFF,FELTS FLD,SPOKANE,USA,47,40,58,N,117,19,21,W,596,47.683,-117.322
KSFO,SFO,SAN FRANCISCO INTERNATIONAL,SAN FRANCISCO,USA,37,37,8,N,122,22,29,W,4,37.619,-122.375
KSFS,N/A,N/A,SAN FRANCISCO,USA,0,0,0,U,0,0,0,U,0,0,0
KSFZ,SFZ,NORTH CENTRAL STATE,SMITHFIELD,USA,41,55,14,N,71,29,28,W,135,41.921,-71.491
KSHV,SHV,SHREVEPORT RGNL,SHREVEPORT,USA,32,26,47,N,93,49,32,W,79,32.446,-93.826
KSJC,SJC,NORMAN Y MINETA SAN JOSE INTERNATIONAL,SAN JOSE,USA,37,21,42,N,121,55,44,W,18,37.362,-121.929
KSJT,SJT,SAN ANGELO RGNL MATHIS FLD,SAN ANGELO,USA,31,21,27,N,100,29,46,W,585,31.358,-100.496
KSKA,SKA,FAIRCHILD AFB,SPOKANE,USA,47,36,54,N,117,39,20,W,751,47.615,-117.656
KSKF,SKF,LACKLAND AFB KELLY FLD ANNEX,SAN ANTONIO,USA,29,23,3,N,98,34,51,W,211,29.384,-98.581
KSKY,SKY,GRIFFING SANDUSKY,SANDUSKY,USA,41,26,0,N,82,39,8,W,177,41.433,-82.652
KSLC,SLC,SALT LAKE CITY INTERNATIONAL,SALT LAKE CITY,USA,40,47,18,N,111,58,39,W,1289,40.788,-111.978
KSMF,SMF,SACRAMENTO INTERNATIONAL,SACRAMENTO,USA,38,41,43,N,121,35,26,W,9,38.695,-121.591
KSNA,SNA,JOHN WAYNE ARPT ORANGE CO,SANTA ANA,USA,33,40,32,N,117,52,5,W,18,33.676,-117.868
KSPB,SPB,SCAPPOOSE INDUSTRIAL AIRPARK,SAN LUIS,USA,45,46,21,N,122,51,44,W,18,45.773,-122.862
KSPG,SPG,ALBERT WHITTED,ST. PETERSBURG,USA,27,45,54,N,82,37,37,W,3,27.765,-82.627
KSPS,SPS,SHEPPARD AFB WICHITA FALLS MUNI,WICHITA FALLS,USA,33,59,19,N,98,29,30,W,311,33.989,-98.492
KSSC,SSC,SHAW AFB,SUMTER,USA,33,58,22,N,80,28,22,W,74,33.973,-80.473
KSSM,N/A,N/A,SAULT SAINTE MARIE,USA,0,0,0,U,0,0,0,U,0,0,0
KSTL,STL,LAMBERT ST LOUIS INTERNATIONAL,ST. LOUIS,USA,38,44,51,N,90,21,35,W,185,38.748,-90.36
KSUU,SUU,TRAVIS AFB,FAIRFIELD,USA,38,15,45,N,121,55,38,W,19,38.263,-121.927
KSUX,SUX,SIOUX GATEWAY COL BUD DAY FLD,SIOUX CITY,USA,42,24,9,N,96,23,3,W,335,42.402,-96.384
KSVN,SVN,HUNTER AAF,HUNTER AAF,USA,32,0,36,N,81,8,44,W,13,32.01,-81.146
KSWA,N/A,N/A,SWAN ISLAND,USA,0,0,0,U,0,0,0,U,0,0,0
KSWF,SWF,STEWART INTERNATIONAL,NEWBURGH,USA,41,30,14,N,74,6,17,W,150,41.504,-74.105
KSYM,N/A,N/A,SMYRNA,USA,0,0,0,U,0,0,0,U,0,0,0
KSYR,SYR,SYRACUSE HANCOCK INTERNATIONAL,SYRACUSE,USA,43,6,40,N,76,6,22,W,129,43.111,-76.106
KSZL,SZL,WHITEMAN AFB,KNOBNOSTER,USA,38,43,49,N,93,32,52,W,266,38.73,-93.548
KTBN,TBN,WAYNESVILLE RGNL ARPT AT FORNEY FLD,FORT LEONARDWOOD,USA,37,44,29,N,92,8,26,W,354,37.741,-92.141
KTCC,TCC,TUCUMCARI MUNI,TUCUMCARI,USA,35,10,58,N,103,36,11,W,1240,35.183,-103.603
KTCM,TCM,MC CHORD AFB,TACOMA,USA,47,8,15,N,122,28,35,W,99,47.138,-122.476
KTCS,TCS,TRUTH OR CONSEQUENCES MUNI,TRUTH OR CONSEQUENCES,USA,33,14,13,N,107,16,18,W,1480,33.237,-107.272
KTEB,TEB,TETERBORO,TETERBORO,USA,40,50,59,N,74,3,39,W,3,40.85,-74.061
KTIK,TIK,TINKER AFB,OKLAHOMA CITY,USA,35,24,53,N,97,23,11,W,394,35.415,-97.386
KTLH,TLH,TALLAHASSEE RGNL,TALLAHASSEE,USA,30,23,47,N,84,21,1,W,25,30.396,-84.35
KTMB,TMB,KENDALL TAMIAMI EXECUTIVE,KENDALL-TAMIAMI,USA,25,38,52,N,80,25,58,W,3,25.648,-80.433
KTNT,TNT,DADE COLLIER TRAINING AND TRANSITION,MIAMI,USA,25,51,42,N,80,53,49,W,4,25.862,-80.897
KTNX,N/A,TONOPAH TEST RANGE,TONOPAH,USA,37,47,40,N,116,46,43,W,1692,37.794,-116.779
KTPA,TPA,TAMPA INTERNATIONAL,TAMPA,USA,27,58,31,N,82,31,59,W,8,27.975,-82.533
KTTN,TTN,TRENTON MERCER,TRENTON,USA,40,16,36,N,74,48,48,W,65,40.277,-74.813
KTUL,TUL,TULSA INTERNATIONAL,TULSA,USA,36,11,54,N,95,53,17,W,207,36.198,-95.888
KTUS,TUS,TUCSON INTERNATIONAL,TUCSON,USA,32,6,58,N,110,56,29,W,806,32.116,-110.941
KTXK,TXK,TEXARKANA RGNL WEBB FLD,TEXARKANA,USA,33,27,13,N,93,59,27,W,119,33.454,-93.991
KTYR,TYR,TYLER POUNDS RGNL,TYLER,USA,32,21,14,N,95,24,8,W,166,32.354,-95.402
KTYS,TYS,MC GHEE TYSON,KNOXVILLE,USA,35,48,44,N,83,59,34,W,300,35.812,-83.993
KUGN,UGN,WAUKEGAN RGNL,CHICAGO,USA,42,25,19,N,87,52,4,W,222,42.422,-87.868
KVAD,VAD,MOODY AFB,VALDOSTA,USA,30,58,4,N,83,11,34,W,72,30.968,-83.193
KVBG,VBG,VANDENBERG AFB,LOMPOC,USA,34,43,46,N,120,34,36,W,112,34.729,-120.577
KVCV,VCV,SOUTHERN CALIFORNIA LOGISTICS,VICTORVILLE,USA,34,35,35,N,117,22,46,W,880,34.593,-117.379
KVPS,VPS,EGLIN AFB,VALPARAISO,USA,30,28,59,N,86,31,31,W,27,30.483,-86.525
KVRB,VRB,VERO BEACH MUNI,VERO BEACH,USA,27,39,20,N,80,25,4,W,8,27.656,-80.418
KWAL,WAL,WALLOPS FLIGHT FACILITY,WALLOPS ISLAND,USA,37,56,24,N,75,27,59,W,13,37.94,-75.466
KWRB,WRB,ROBINS AFB,MACON,USA,32,38,24,N,83,35,30,W,90,32.64,-83.592
KWRI,WRI,MC GUIRE AFB,WRIGHTSTOWN,USA,40,0,56,N,74,35,37,W,41,40.016,-74.594
KWSD,WSD,CONDRON AAF,WHITE SANDS,USA,32,20,29,N,106,24,9,W,1200,32.341,-106.403
KWWD,WWD,CAPE MAY CO,WILDWOOD,USA,39,0,30,N,74,54,29,W,8,39.008,-74.908
KYIP,YIP,WILLOW RUN,DETROIT,USA,42,14,16,N,83,31,49,W,219,42.238,-83.53
KYNG,YNG,YOUNGSTOWN WARREN RGNL,YOUNGSTOWN,USA,41,15,38,N,80,40,44,W,365,41.261,-80.679
KYUM,YUM,YUMA MCAS YUMA INTERNATIONAL,YUMA,USA,32,39,23,N,114,36,21,W,65,32.656,-114.606
KZUN,ZUN,BLACK ROCK,ZUNI PUEBLO,USA,35,5,0,N,108,47,30,W,1968,35.083,-108.792
PAAQ,PAQ,PALMER MUNI,PALMER,USA,61,35,41,N,149,5,19,W,76,61.595,-149.089
PABA,BTI,BARTER ISLAND LRRS,BARTER ISLAND,USA,70,8,2,N,143,34,37,W,2,70.134,-143.577
PABE,BET,BETHEL,BETHEL,USA,60,46,47,N,161,50,16,W,38,60.78,-161.838
PABH,N/A,N/A,BETHEL,USA,0,0,0,U,0,0,0,U,0,0,0
PABI,BIG,ALLEN AAF,DELTA JUNCTION,USA,63,59,40,N,145,43,17,W,390,63.994,-145.721
PABK,N/A,N/A,FAIRBANKSA,USA,0,0,0,U,0,0,0,U,0,0,0
PABM,N/A,BIG MOUNTAIN AFS,BIG MOUNTAIN,USA,59,21,42,N,155,15,26,W,203,59.362,-155.257
PABR,BRW,WILEY POST WILL ROGERS MEM,BARROW,USA,71,17,7,N,156,45,57,W,14,71.285,-156.766
PABT,BTT,BETTLES,BETTLES,USA,66,54,55,N,151,31,41,W,196,66.915,-151.528
PACD,CDB,COLD BAY,COLD BAY,USA,55,12,20,N,162,43,27,W,30,55.206,-162.724
PACL,N/A,CLEAR,CLEAR MEWS,USA,64,18,4,N,149,7,12,W,169,64.301,-149.12
PACS,N/A,N/A,CAPE SARICHEF,USA,0,0,0,U,0,0,0,U,0,0,0
PACV,CDV,MERLE K MUDHOLE SMITH,CORDOVA,USA,60,29,30,N,145,28,39,W,13,60.492,-145.477
PACZ,N/A,CAPE ROMANZOF LRRS,CAPE ROMANZOF,USA,61,46,49,N,166,2,19,W,140,61.78,-166.039
PADF,N/A,N/A,DRIFTWOOD BAY AFS,USA,0,0,0,U,0,0,0,U,0,0,0
PADK,ADK,ADAK,ADAK ISLAND,USA,51,52,40,N,176,38,45,W,7,51.878,-176.646
PADL,DLG,DILLINGHAM,DILLINGHAM,USA,59,2,43,N,158,30,12,W,27,59.045,-158.503
PADQ,ADQ,KODIAK,KODIAK,USA,57,45,0,N,152,29,37,W,23,57.75,-152.494
PADU,DUT,UNALASKA,UNALASKA,USA,53,54,0,N,166,32,36,W,7,53.9,-166.543
PAED,EDF,ELMENDORF AFB,ANCHORAGE,USA,61,15,4,N,149,48,23,W,65,61.251,-149.806
PAEH,EHM,CAPE NEWENHAM LRRS,CAPE NEWENHAM,USA,58,38,50,N,162,3,38,W,165,58.647,-162.061
PAEI,EIL,EIELSON AFB,FAIRBANKS,USA,64,39,56,N,147,6,5,W,168,64.666,-147.101
PAEN,ENA,KENAI MUNI,KENAI,USA,60,34,23,N,151,14,42,W,31,60.573,-151.245
PAFA,FAI,FAIRBANKS INTERNATIONAL,FAIRBANKS,USA,64,48,54,N,147,51,22,W,133,64.815,-147.856
PAFB,FBK,WAINWRIGHT AAF,FORT WAINWRIGHT,USA,64,50,15,N,147,36,52,W,139,64.837,-147.614
PAFR,N/A,BRYANT AHP,FORT RICHARDSON,USA,61,15,58,N,149,39,11,W,116,61.266,-149.653
PAFW,N/A,N/A,FAREWELL,USA,0,0,0,U,0,0,0,U,0,0,0
PAGA,GAL,EDWARD G PITKA SR,GALENA,USA,64,44,10,N,156,56,14,W,47,64.736,-156.937
PAGK,GKN,GULKANA,GULKANA,USA,62,9,17,N,145,27,23,W,482,62.155,-145.456
PAGY,SGY,SKAGWAY,SKAGWAY,USA,59,27,36,N,135,18,56,W,14,59.46,-135.316
PAHG,N/A,N/A,ANCHORAGE,USA,0,0,0,U,0,0,0,U,0,0,0
PAHO,HOM,HOMER,HOMER,USA,59,38,44,N,151,28,35,W,26,59.646,-151.476
PAIL,ILI,ILIAMNA,ILIAMNA,USA,59,45,13,N,154,54,39,W,57,59.754,-154.911
PAIM,UTO,INDIAN MOUNTAIN LRRS,INDIAN MOUNTAINS,USA,65,59,34,N,153,42,15,W,372,65.993,-153.704
PAJN,JNU,JUNEAU INTERNATIONAL,JUNEAU,USA,58,21,17,N,134,34,34,W,6,58.355,-134.576
PAKA,N/A,N/A,SITKA,USA,0,0,0,U,0,0,0,U,0,0,0
PAKN,AKN,KING SALMON,KING SALMON,USA,58,40,36,N,156,38,57,W,18,58.677,-156.649
PAKT,KTN,KETCHIKAN INTERNATIONAL,KETCHIKAN,USA,55,21,20,N,131,42,49,W,30,55.356,-131.714
PALU,LUR,CAPE LISBURNE LRRS,CAPE LISBURNE,USA,68,52,30,N,166,6,36,W,4,68.875,-166.11
PAMC,MCG,MC GRATH,MCGRATH,USA,62,57,10,N,155,36,20,W,103,62.953,-155.606
PAMD,N/A,MIDDLETON ISLAND,MIDDLETON ISLAND,USA,59,26,59,N,146,18,31,W,27,59.45,-146.309
PAME,N/A,N/A,NOME,USA,0,0,0,U,0,0,0,U,0,0,0
PAMR,MRI,MERRILL FLD,ANCHORAGE,USA,61,12,51,N,149,50,46,W,42,61.214,-149.846
PANC,ANC,TED STEVENS ANCHORAGE INTERNATIONAL,ANCHORAGE,USA,61,10,27,N,149,59,46,W,47,61.174,-149.996
PANT,ANN,ANNETTE ISLAND,ANNETTE ISLAND,USA,55,2,32,N,131,34,20,W,37,55.042,-131.572
PAOM,OME,NOME,NOME,USA,64,30,43,N,165,26,42,W,12,64.512,-165.445
PAOR,ORT,NORTHWAY,NORTHWAY,USA,62,57,40,N,141,55,44,W,524,62.961,-141.929
PAOT,OTZ,RALPH WIEN MEM,KOTZEBUE,USA,66,53,4,N,162,35,54,W,4,66.884,-162.598
PAPB,N/A,ST GEORGE,POINT BARROW,USA,56,34,42,N,169,39,41,W,39,56.578,-169.661
PAPM,PML,PLATINUM,PORT MOLLER,USA,59,0,40,N,161,49,10,W,5,59.011,-161.819
PASC,SCC,DEADHORSE,DEADHORSE,USA,70,11,41,N,148,27,54,W,19,70.195,-148.465
PASI,SIT,SITKA ROCKY GUTIERREZ,SITKA,USA,57,2,49,N,135,21,41,W,8,57.047,-135.361
PASN,SNP,ST PAUL ISLAND,ST. PAUL ISLAND,USA,57,10,2,N,170,13,13,W,20,57.167,-170.22
PASV,SVW,SPARREVOHN LRRS,SPARREVOHN,USA,61,5,50,N,155,34,27,W,484,61.097,-155.574
PASY,SYA,EARECKSON AS,SHEMYA,USA,52,42,44,N,174,6,49,E,30,52.712,174.114
PATA,TAL,RALPH M CALHOUN,TANANA,USA,65,10,27,N,152,6,33,W,70,65.174,-152.109
PATC,TNC,TIN CITY LRRS,TIN CITY,USA,65,33,47,N,167,55,20,W,83,65.563,-167.922
PATK,TKA,TALKEETNA,TALKEETNA,USA,62,19,13,N,150,5,37,W,110,62.32,-150.094
PATL,TLJ,TATALINA LRRS,TATALINA,USA,62,53,39,N,155,58,35,W,294,62.894,-155.976
PAUN,UNK,UNALAKLEET,UNALAKLEET,USA,63,53,18,N,160,47,56,W,7,63.888,-160.799
PAVD,VDZ,VALDEZ PIONEER FIELD,VALDEZ,USA,61,8,2,N,146,14,54,W,37,61.134,-146.248
PAWT,AIN,WAINWRIGHT AS,FORT WAINWRIGHT,USA,70,36,48,N,159,51,37,W,11,70.613,-159.86
PAWW,N/A,N/A,WILDWOOD,USA,0,0,0,U,0,0,0,U,0,0,0
PAYA,YAK,YAKUTAT,YAKUTAT,USA,59,30,11,N,139,39,36,W,12,59.503,-139.66
PBTI,N/A,N/A,BARTER ISLAND,USA,0,0,0,U,0,0,0,U,0,0,0
PFYU,FYU,FORT YUKON,FORT YUKON,USA,66,34,17,N,145,15,1,W,132,66.571,-145.25
PHBK,BKH,BARKING SANDS PMRF,BARKING SANDS,USA,22,1,18,N,159,47,12,W,5,22.022,-159.787
PHDH,HDH,DILLINGHAM,DILLINGHAM,USA,21,34,45,N,158,12,37,W,5,21.579,-158.21
PHEB,N/A,N/A,EWA BEACH,USA,0,0,0,U,0,0,0,U,0,0,0
PHFF,N/A,N/A,SOLAR FLARE FRCST FAC,USA,0,0,0,U,0,0,0,U,0,0,0
PHHI,N/A,WHEELER AAF,WHEELER AFB.,USA,21,29,0,N,158,2,22,W,256,21.483,-158.039
PHHN,HNM,HANA,HANA,USA,20,47,44,N,156,0,51,W,24,20.796,-156.014
PHIK,N/A,N/A,HICKAM AFB,USA,0,0,0,U,0,0,0,U,0,0,0
PHJG,N/A,N/A,PEARL HARBOR,USA,0,0,0,U,0,0,0,U,0,0,0
PHJH,JHM,KAPALUA,LAHANIA-KAPALUA,USA,20,57,46,N,156,40,27,W,79,20.963,-156.674
PHKI,N/A,N/A,SOUTH KAUAI MET,USA,0,0,0,U,0,0,0,U,0,0,0
PHKM,N/A,N/A,KAMUELA MET,USA,0,0,0,U,0,0,0,U,0,0,0
PHKO,KOA,KONA INTERNATIONAL AT KEAHOLE,KONA,USA,19,44,19,N,156,2,44,W,15,19.739,-156.046
PHKP,N/A,N/A,KAANAPALI,USA,0,0,0,U,0,0,0,U,0,0,0
PHKU,N/A,N/A,KUNIA,USA,0,0,0,U,0,0,0,U,0,0,0
PHLI,LIH,LIHUE,LIHUE,USA,21,58,34,N,159,20,19,W,47,21.976,-159.339
PHMK,MKK,MOLOKAI,MOLOKAI,USA,21,9,10,N,157,5,46,W,139,21.153,-157.096
PHMO,N/A,N/A,MOLOKAI MET,USA,0,0,0,U,0,0,0,U,0,0,0
PHMU,MUE,WAIMEA KOHALA,KAMUELA,USA,20,0,4,N,155,40,5,W,815,20.001,-155.668
PHNA,N/A,N/A,BARBERS POINT,USA,0,0,0,U,0,0,0,U,0,0,0
PHNC,N/A,N/A,PEARL HARBOR,USA,0,0,0,U,0,0,0,U,0,0,0
PHNF,N/A,N/A,HONOLULU,USA,0,0,0,U,0,0,0,U,0,0,0
PHNG,NGF,KANEOHE BAY MCAF,KANEOHE BAY,USA,21,26,57,N,157,46,4,W,6,21.449,-157.768
PHNL,HNL,HONOLULU INTERNATIONAL,HONOLULU,USA,21,18,57,N,157,55,36,W,4,21.316,-157.927
PHNY,LNY,LANAI,LANAI,USA,20,47,8,N,156,57,5,W,399,20.786,-156.951
PHOG,OGG,KAHULUI,KAHULUI,USA,20,53,55,N,156,25,50,W,17,20.899,-156.431
PHSF,BSF,BRADSHAW AAF,BRADSHAW FIELD,USA,19,45,36,N,155,33,13,W,1887,19.76,-155.554
PHTO,ITO,HILO INTERNATIONAL,HILO,USA,19,43,13,N,155,2,55,W,12,19.72,-155.049
PHUP,UPP,UPOLU,OPOLU,USA,20,15,54,N,155,51,35,W,30,20.265,-155.86
PHWA,N/A,N/A,SOUTH HAWAII MET,USA,0,0,0,U,0,0,0,U,0,0,0
PHWR,N/A,N/A,HICKAM,USA,0,0,0,U,0,0,0,U,0,0,0
PHZH,N/A,N/A,HONOLULU ARTCC,USA,0,0,0,U,0,0,0,U,0,0,0
POLI,OLI,OLIKTOK LRRS,OLIKTOK POINT,USA,70,29,58,N,149,52,46,W,5,70.499,-149.879
PPIZ,PIZ,POINT LAY LRRS,POINT LAY,USA,69,43,58,N,163,0,19,W,8,69.733,-163.005
