Airport Code,Location Code,Airport Name,City,Country,Timezone Offset (H),Timezone Offset (M),Timezone Offset (S),Latitude Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Direction,Longitude Degrees,Latitude,Longitude
KGRB,GRB,AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,USA,44,29,6,N,88,7,46,W,212,44.485,-88.129
KGRF,GRF,GRAY AAF,FORT LEWIS,USA,47,4,45,N,122,34,50,W,93,47.079,-122.581
KGRK,GRK,ROBERT GRAY AAF,KILLEEN,USA,31,4,2,N,97,49,44,W,311,31.067,-97.829
KGRR,GRR,GERALD R FORD INTERNATIONAL,GRAND RAPIDS,USA,42,52,51,N,85,31,22,W,242,42.881,-85.523
KGSB,GSB,SEYMOUR JOHNSON AFB,GOLDSBORO,USA,35,20,21,N,77,57,38,W,34,35.339,-77.961
KGTB,GTB,WHEELER SACK AAF,FORT DRUM,USA,44,3,20,N,75,43,10,W,211,44.056,-75.719
KGTF,GTF,GREAT FALLS INTERNATIONAL,GREAT FALLS,USA,47,28,55,N,111,22,14,W,1121,47.482,-111.371
KGUS,GUS,GRISSOM ARB,PERU,USA,40,38,53,N,86,9,7,W,248,40.648,-86.152
KGVT,GVT,MAJORS,GREENVILE,USA,33,4,4,N,96,3,55,W,164,33.068,-96.065
KGVW,GVW,RICHARDS GEBAUR MEMORIAL,GRANDVIEW,USA,38,50,36,N,94,33,38,W,333,38.843,-94.561
KGWO,GWO,GREENWOOD LEFLORE,GREENWOOD,USA,33,29,39,N,90,5,4,W,50,33.494,-90.084
KHAR,HAR,N/A,HARRISBURG,USA,0,0,0,U,0,0,0,U,0,0,0
KHBR,HBR,HOBART MUNI,HOBART,USA,34,59,28,N,99,3,4,W,477,34.991,-99.051
KHFD,HFD,HARTFORD BRAINARD,HARTFORD,USA,41,44,10,N,72,39,0,W,6,41.736,-72.65
KHHR,HHR,JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,USA,33,55,22,N,118,20,6,W,21,33.923,-118.335
KHIB,HIB,CHISHOLM HIBBING,HIBBING,USA,47,23,11,N,92,50,20,W,413,47.386,-92.839
KHIF,HIF,HILL AFB,OGDEN,USA,41,7,26,N,111,58,22,W,1460,41.124,-111.973
KHKY,HKY,HICKORY RGNL,HICKORY,USA,35,44,28,N,81,23,22,W,363,35.741,-81.389
KHLN,HLN,HELENA RGNL,HELENA,USA,46,36,24,N,111,58,57,W,1182,46.607,-111.983
KHLR,HLR,HOOD AAF,FORT HOOD,USA,31,8,19,N,97,42,52,W,282,31.139,-97.714
KHMN,HMN,HOLLOMAN AFB,ALAMOGORDO,USA,32,51,9,N,106,6,23,W,1248,32.852,-106.106
KHOB,HOB,LEA CO RGNL,HOBBS,USA,32,41,15,N,103,13,1,W,1116,32.688,-103.217
KHON,HON,HURON RGNL,HURON,USA,44,23,6,N,98,13,42,W,393,44.385,-98.228
KHOP,HOP,CAMPBELL AAF,HOPKINSVILLE,USA,36,40,6,N,87,29,46,W,175,36.668,-87.496
KHOU,HOU,WILLIAM P HOBBY,HOUSTON,USA,29,38,43,N,95,16,44,W,15,29.645,-95.279
KHPN,HPN,WESTCHESTER CO,WHITE PLAINS,USA,41,4,1,N,73,42,27,W,134,41.067,-73.707
KHRL,HRL,VALLEY INTERNATIONAL,HARLINGEN,USA,26,13,42,N,97,39,15,W,11,26.228,-97.654
KHRO,HRO,BOONE CO,HARRISON,USA,36,15,41,N,93,9,17,W,417,36.261,-93.155
KHRT,HRT,HURLBURT FLD,MARY ESTHER,USA,30,25,40,N,86,41,21,W,12,30.428,-86.689
KHST,HST,HOMESTEAD ARB,HOMESTEAD,USA,25,29,18,N,80,23,1,W,3,25.488,-80.384
KHTB,N/A,N/A,CHARLESTON,USA,0,0,0,U,0,0,0,U,0,0,0
KHTL,HTL,ROSCOMMON CO,HOUGHTON LAKE,USA,44,21,35,N,84,40,16,W,351,44.36,-84.671
KHUA,HUA,REDSTONE AAF,REDSTONE,USA,34,40,43,N,86,41,5,W,209,34.679,-86.685
KHUF,HUF,TERRE HAUTE INTERNATIONAL HULMAN FLD,TERRE HAUTE,USA,39,27,5,N,87,18,27,W,180,39.451,-87.307
KHUL,HUL,HOULTON INTERNATIONAL,HOULTON,USA,46,7,23,N,67,47,31,W,150,46.123,-67.792
KHVR,HVR,HAVRE CITY CO,HAVRE,USA,48,32,34,N,109,45,44,W,790,48.543,-109.762
KHWO,HWO,NORTH PERRY,HOLLYWOOD,USA,26,0,5,N,80,14,25,W,3,26.001,-80.24
KIAB,IAB,MC CONNELL AFB,WICHITA,USA,37,37,22,N,97,16,2,W,418,37.623,-97.267
KIAD,IAD,WASHINGTON DULLES INTERNATIONAL,WASHINGTON,USA,38,56,40,N,77,27,20,W,96,38.944,-77.456
KIAG,IAG,NIAGARA FALLS INTERNATIONAL,NIAGARA FALLS,USA,43,6,26,N,78,56,46,W,180,43.107,-78.946
KIAH,IAH,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,USA,29,58,49,N,95,20,23,W,30,29.98,-95.34
KICT,ICT,WICHITA MID CONTINENT,WICHITA,USA,37,38,59,N,97,25,59,W,407,37.65,-97.433
KIKK,IKK,GREATER KANKAKEE,KANKAKEE,USA,41,4,17,N,87,50,46,W,193,41.071,-87.846
KIKR,ABQ,ALBUQUERQUE INTERNATIONAL SUNPORT,KIRTLAND A.F.B.,USA,35,2,24,N,106,36,33,W,1633,35.04,-106.609
KILG,ILG,NEW CASTLE CO,WILMINGTON,USA,39,40,43,N,75,36,23,W,25,39.679,-75.606
KILM,ILM,WILMINGTON INTERNATIONAL,WILMINGTON,USA,34,16,14,N,77,54,9,W,10,34.271,-77.903
